Marvelous AQL,7.966666666666666,7.2666666666666675
Crystal Dynamics,7.966666666666664,7.671428571428571
Sony Online Entertainment,7.959999999999999,6.840000000000001
Bandai,7.954545454545454,5.736363636363636
Hitmaker,7.950000000000001,7.375
Andamiro U.S.A. Corp.,7.95,7.35
1C: Maddox Games,7.95,7.3
S-Neo,7.95,7
MachineGames,7.949999999999999,7.7666666666666675
Inevitable Entertainment,7.949999999999999,6
CyberConnect2,7.945454545454547,7.209090909090909
Grasshopper Manufacture,7.938461538461538,7.246153846153847
Studio Liverpool,7.933333333333334,8.233333333333333
Tecmo,7.933333333333334,6.9833333333333325
Loose Cannon Studios,7.933333333333333,6.7333333333333325
Sting,7.933333333333333,6.758333333333333
Shin'en,7.925,7.55
Koei,7.9222222222222225,6.888888888888888
Quantic Dream,7.92,8.18
Smilebit,7.92,8.28
Atari,7.919999999999999,6.859999999999999
Acquire,7.918181818181816,6.4727272727272736
SCE Japan Studio,7.911764705882353,7.711764705882354
Colossal Order,7.900000000000001,7.566666666666667
Treasure,7.9,7.75
Keen Games,7.9,8.15
Animation Arts,7.9,7.7
Edge Entertainment/ Anima Project,7.9,5.2
EA Mythic,7.9,8.6
SCEA/ Zindagi Games,7.9,7.6
id Software/ Nerve Software,7.9,7.7
Runtime,7.9,6.9
Nival Interactive,7.9,7.7
Westwood Studios,7.9,7.2
Blue Byte/ Related Designs,7.9,8.25
Sega AM3,7.9,8
Dreamworks Games,7.9,8
Ninja Studio,7.9,6.5
High Moon Studios/ Mercenary Technologies,7.9,7.8
Mad Doc Software/ Rockstar Vancouver,7.9,7.6
ApolloSoft,7.9,6.9
Certain Affinity,7.9,8.9
Cranky Pants Games,7.9,7.35
PopCap,7.8999999999999995,7.946666666666667
WXP,7.8999999999999995,6.65
Saffire,7.8999999999999995,5.675
Rockstar Leeds,7.888888888888889,8.3
Snowblind Studios,7.8875,7.425
Headstrong Games,7.883333333333333,7.35
Clover Studio,7.875000000000001,8.0625
Double Fine Productions,7.875,8.3
Rockstar Toronto,7.871428571428571,7.9
Renegade Kid,7.866666666666667,7.2666666666666675
Exakt,7.862500000000001,6.775
Triumph Studios,7.860000000000001,7.659999999999999
2K Czech,7.859999999999999,7.840000000000001
Atomic Planet Entertainment,7.859999999999999,7.0200000000000005
Arkedo Studio,7.85,7.4
Genki,7.85,6.5375
syn Sophia,7.85,7.45
Shift/ Bandai Namco Games,7.85,7.05
Natsume,7.849999999999999,5.970000000000001
Sega AM2,7.844444444444444,8.155555555555555
SimBin,7.840000000000001,7.44
Flight-Plan,7.833333333333333,7.166666666666667
Eidos Montreal,7.825,8.625
Vigil Games,7.814285714285714,8.3
Raven Software,7.8125,7.99375
Isopod Labs,7.800000000000001,6.6
Career Soft,7.800000000000001,7.05
LucasArts/ Red Fly Studio,7.8,7.1
Deep Space,7.8,6.7
Mobius Entertainment,7.8,7.8
Crawfish Interactive,7.8,8.3
Virtual Air Guitar Company,7.8,5.6
Frima Studio,7.8,6.5
KnowWonder,7.8,6.966666666666667
Examu,7.8,7.5
Daedalic Entertainment,7.8,7.475
Re-Logic,7.8,7.7
Kheops Studio,7.8,5.6
Rockstar Toronto/ Rockstar Leeds,7.8,8.1
Alphadream Corporation,7.8,7.7
Magic Rings,7.8,7.9
Sony Online Entertainment/ Mind Control Software,7.8,7.7
LightBox Interactive,7.8,7.7
Ubisoft/ FunHouse,7.8,7.2
Rockstar San Diego,7.8,8.08235294117647
Playground Games,7.8,8.85
Amaze,7.8,6.3
Tecmo/ Ntreev Soft,7.8,7.2
Darkworks,7.8,7.2
Tenky,7.8,6.4
Vivendi Games,7.8,6.6
Full-Fat,7.8,6.2
Enterbrain,7.8,5.8
Sun-Tec,7.8,8.2
Ganbarion,7.799999999999999,6.957142857142857
PlatinumGames,7.794117647058825,7.547058823529412
Neverland,7.791666666666665,6.583333333333333
Alfa System,7.783333333333332,6.85
Omega Force,7.781159420289856,6.405797101449275
Larian Studios,7.779999999999999,7.3
Acclaim Studios Austin,7.775,7.475
Rare Ltd.,7.7749999999999995,7.6625
Ubisoft Montpellier,7.772222222222222,7.8277777777777775
Rage Software,7.766666666666666,7.033333333333333
WinkySoft,7.766666666666666,5.933333333333334
Capcom,7.756249999999993,7.509375
Monkey Bar Games,7.75,4.9
Kojima Productions/ Moby Dick Studio,7.75,9.4
People Can Fly,7.75,7.45
Team Bondi,7.75,8.9
Mercury Steam,7.75,7.2
Climax Entertainment,7.75,6.65
Rockstar Studios,7.733333333333333,8.666666666666668
Melbourne House,7.733333333333333,6.833333333333333
Harmonix Music Systems,7.7218750000000025,8.303125
Revolution Software,7.720000000000001,7.6
Next Level Games,7.707692307692307,6.7
Rainbow Studios,7.704,7.140000000000001
Sonic Team,7.702857142857142,6.6085714285714285
Beluga Computer,7.7,4.6
Phantagram,7.7,7.95
Contraband Entertainment,7.7,7.5
SCE/WWS/ SCE Japan Studio,7.7,7.9
Compulsion Games,7.7,6.2
Jupiter Corporation/ Jupiter Multimedia,7.7,7
Nicalis,7.7,8.2
Black Rock Studio,7.7,7.840000000000001
Matrix Software,7.7,7.82
Silicon Studio,7.7,7.9
Subterranean Games,7.7,6.5
Croteam,7.7,7.62
JoWooD Entertainment AG,7.7,5.9
Electronic Arts/ EA Redwood Shores,7.7,7.1
Marvelous Inc.,7.7,7
Digital Mayhem,7.7,6.4
Firaxis Games,7.699999999999998,8.715384615384616
Bluepoint Games,7.679999999999998,8.3
Criterion Games,7.679166666666667,8.4125
From Software,7.676190476190477,6.988095238095238
Bits Studios,7.675000000000001,5.825
Virtuos,7.675000000000001,7.175
Cave,7.675,7.05
Pyro Studios,7.671428571428572,6.628571428571429
Remedy Entertainment,7.671428571428571,8.114285714285714
Kuju Entertainment,7.666666666666667,7.111111111111112
Epic Games/ People Can Fly,7.666666666666667,8.3
Turn 10,7.659999999999999,8.78
Koei Tecmo Games,7.657142857142857,6.871428571428571
Epic Games,7.654545454545455,8.636363636363637
Tripwire Interactive,7.65,7.6
Tri-Crescendo,7.65,7.225
Smart Bomb Interactive,7.65,6.225
Studio Saizensen,7.65,7.05
Naps Team,7.65,6
h.a.n.d. Inc.,7.6499999999999995,7
Pseudo Interactive,7.6499999999999995,6.725
EA Redwood Shores,7.638095238095239,7.642857142857143
Jellyvision/ Iron Galaxy Studios,7.633333333333334,8.166666666666668
Suzak,7.633333333333333,6.566666666666667
Ratbag,7.633333333333333,6.033333333333333
Aspect,7.633333333333333,7
Relic,7.628571428571427,7.992857142857143
Ubisoft Toronto,7.6000000000000005,8.075
Nintendo/ Nintendo Software Technology,7.6000000000000005,7.2
Hudson Entertainment,7.6000000000000005,5.966666666666667
Edge of Reality,7.6000000000000005,6.8
RED Entertainment,7.6,7.55
Midway Studios - Los Angeles,7.6,7.75
Big Blue Bubble Inc.,7.6,5.2
Metanet Software Inc./ SilverBirch Studios,7.6,8.05
Arrowhead Game Studios,7.6,7.4
Cyan Worlds,7.6,7.9
Q-Games,7.6,8.1
Square Enix/ TOSE,7.6,8.3
Deep Silver/ Sproing Interactive Media/ Sproing,7.6,6.7
Magellan Interactive,7.6,6.9
Tantatus,7.6,6.7
TopWare Interactive,7.6,5.4
Aspyr,7.6,6.85
EA Japan Studio,7.6,7.2
Flying Lab Software,7.6,7.6
Nintendo/ Headstrong Games,7.6,8.1
WB Games Montreal,7.6,7.5
FuRyu,7.6,6.720000000000001
Idea Factory,7.6,6.7
10tacle Studios/ Fusionsphere Systems,7.6,6.8
Rebellion/ Neversoft Entertainment,7.6,7.3
Human Head Studios,7.599999999999999,6.1
Spike Chunsoft,7.589999999999999,6.9799999999999995
Team Ninja,7.58888888888889,7.616666666666667
Guerrilla,7.583333333333333,7.55
4J Studios,7.580000000000001,6.9
DreamFactory,7.575,6
Irem,7.566666666666667,6.916666666666667
Stormregion,7.566666666666667,7.166666666666667
Experience Inc.,7.566666666666666,6.9
Q Entertainment,7.557142857142857,8.114285714285714
Bugbear,7.554545454545454,7.3545454545454545
Polygon Magic,7.550000000000001,6.35
Bullfrog Productions,7.550000000000001,8.3
